uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
26a5d2c885,2020-11-26T14:32:23Z,2020-11-26T14:42:37Z,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Strongly agree
22dd74cdc7,2020-11-27T14:13:15Z,2020-11-27T14:13:49Z,Somewhat agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree
b55fcd599f,2020-11-26T09:17:54Z,2020-11-26T09:19:33Z,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree
ee4132f47b,2020-11-27T14:25:17Z,2020-11-27T14:26:15Z,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree
c4d840fb2a,2020-11-26T09:15:33Z,2020-11-26T09:16:34Z,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree
1338277ca7,2020-11-27T11:25:36Z,2020-11-27T11:27:04Z,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree
711c2cf8a3,2020-11-27T09:20:06Z,2020-11-27T09:21:23Z,Somewhat agree,Disagree,Strongly agree,Agree,Disagree,Somewhat disagree,Strongly agree
ee21d54a71,2020-11-27T14:12:13Z,2020-11-27T14:15:35Z,Disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree
cff9d2970a,2020-11-26T09:35:44Z,2020-11-26T09:39:50Z,Agree,Somewhat disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree
be897aa438,2020-11-26T14:15:00Z,2020-11-26T14:17:38Z,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Disagree
922430c712,2020-11-26T14:08:18Z,2020-11-26T14:15:16Z,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree
74c6036c5a,2020-11-26T14:12:46Z,2020-11-26T14:14:23Z,Agree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree
6cf2a93dd9,2020-11-26T09:17:59Z,2020-11-26T09:19:45Z,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Disagree,Agree
f8fbdddad4,2020-11-27T14:14:17Z,2020-11-27T14:16:05Z,Somewhat disagree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Neither agree nor disagree
84bfe8b5b0,2020-11-26T14:09:03Z,2020-11-26T14:09:59Z,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
b308d4636c,2020-11-26T09:11:38Z,2020-11-26T09:13:08Z,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree
1529f83cc8,2020-11-25T17:40:38Z,2020-11-25T17:40:49Z,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree
5e00894bbd,2020-11-27T11:15:41Z,2020-11-27T11:16:55Z,Disagree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
905a8d0bba,2020-11-27T14:13:51Z,2020-11-27T14:15:11Z,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Strongly agree
096c49cd8a,2020-11-26T11:17:41Z,2020-11-26T11:19:42Z,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Agree
cab36a82c5,2020-11-27T14:14:12Z,2020-11-27T14:15:24Z,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree
275d7f96dc,2020-11-26T11:13:57Z,2020-11-26T11:14:43Z,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Strongly agree
ff0240fc51,2020-11-26T11:09:59Z,2020-11-26T11:10:49Z,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
25c54381cd,2020-11-26T11:12:40Z,2020-11-26T11:19:16Z,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
2ee5641475,2020-11-26T11:19:08Z,2020-11-26T11:20:00Z,Strongly agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree
54b8255362,2020-11-26T09:19:17Z,2020-11-26T09:19:56Z,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree
c6238f274a,2020-11-27T14:12:50Z,2020-11-27T14:13:50Z,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly agree
0cbb730042,2020-11-26T09:13:26Z,2020-11-26T09:14:01Z,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree
22cf67ed51,2020-11-26T14:52:13Z,2020-11-26T14:53:14Z,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Agree,Agree
74db260cc9,2020-11-26T09:14:41Z,2020-11-26T09:18:11Z,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree
5cb0b1e1a0,2020-11-26T09:15:16Z,2020-11-26T09:19:28Z,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree
bec6f0addc,2020-11-30T09:07:18Z,2020-11-30T09:08:34Z,Agree,Somewhat agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree
8b291015f5,2020-11-27T09:10:16Z,2020-11-27T09:15:34Z,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Strongly agree
d6e8636688,2020-11-26T14:26:06Z,2020-11-26T14:27:21Z,Somewhat disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
679df0ff1d,2020-11-27T11:13:35Z,2020-11-27T11:14:26Z,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Strongly agree
3cfcf99d67,2020-11-27T09:21:46Z,2020-11-27T09:22:43Z,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree
3f5a709ea5,2020-11-26T09:15:22Z,2020-11-26T09:17:06Z,Agree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Disagree,Agree
080f29565b,2020-11-26T14:18:44Z,2020-11-26T14:20:14Z,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
2a7f43bbba,2020-11-26T09:30:35Z,2020-11-26T09:32:47Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Strongly agree
6b1631d235,2020-11-26T14:37:30Z,2020-11-26T14:38:59Z,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Strongly agree
9b4369a809,2020-11-27T09:16:00Z,2020-11-27T09:17:30Z,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree
1f038fbe3e,2020-11-26T14:16:12Z,2020-11-26T14:17:26Z,Strongly agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Agree
03a21dab04,2020-11-26T11:11:39Z,2020-11-26T11:12:20Z,Strongly disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Disagree,Somewhat agree
5d7b4887c1,2020-11-26T14:14:32Z,2020-11-26T14:16:13Z,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Strongly agree
1e6b22e63f,2020-11-26T14:22:48Z,2020-11-26T14:27:00Z,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree
4280f720ee,2020-11-27T09:16:17Z,2020-11-27T09:19:41Z,Agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Strongly agree
5d024bf3cc,2020-11-27T11:18:22Z,2020-11-27T11:22:57Z,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Strongly agree,Strongly agree
d32b1cede5,2020-11-27T14:18:46Z,2020-11-27T14:19:53Z,Agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree
7bd9665da0,2020-11-26T14:16:00Z,2020-11-26T14:17:57Z,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree
11c1e5e763,2020-11-25T17:43:10Z,2020-11-25T17:43:22Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
11c1e5e763,2020-11-25T17:44:18Z,2020-11-25T17:44:26Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
2f5c35e0de,2020-11-26T14:19:12Z,2020-11-26T14:21:15Z,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly disagree
93810528a7,2020-11-26T14:17:03Z,2020-11-26T14:19:28Z,Disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree
c04322287e,2020-11-26T11:21:52Z,2020-11-26T11:28:12Z,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree
48aec8a86c,2020-11-27T09:17:55Z,2020-11-27T09:18:47Z,Strongly agree,Strongly disagree,Agree,Agree,Somewhat disagree,Strongly disagree,Strongly agree
9995d64e32,2020-11-26T14:15:33Z,2020-11-26T14:16:48Z,Somewhat disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree
e75d626948,2020-11-27T09:15:05Z,2020-11-27T09:16:25Z,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree
db59d4586a,2020-11-26T09:20:25Z,2020-11-26T09:21:24Z,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree
f73160e99c,2020-11-26T03:05:53Z,2020-11-26T03:06:58Z,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
7fab0e3529,2020-11-26T14:13:54Z,2020-11-26T14:14:53Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
7fab0e3529,2020-11-26T14:14:13Z,2020-11-26T14:15:12Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
4f8da97019,2020-11-26T14:18:27Z,2020-11-26T14:20:27Z,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
ffe87965a8,2020-11-27T11:16:29Z,2020-11-27T11:17:33Z,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Agree
7e3abf5784,2020-11-27T14:10:29Z,2020-11-27T14:17:28Z,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree
5429d7c472,2020-11-27T11:19:22Z,2020-11-27T11:20:42Z,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
be71d29fd7,2020-11-26T09:35:40Z,2020-11-26T09:36:39Z,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree
b4dbf244b7,2020-11-27T14:11:00Z,2020-11-27T14:11:45Z,Agree,Somewhat disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree
873236ee4e,2020-11-26T09:12:56Z,2020-11-26T09:13:36Z,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree
ed945ff1d6,2020-11-27T09:12:12Z,2020-11-27T09:13:03Z,Somewhat agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree
d92e539706,2020-11-26T09:14:19Z,2020-11-26T09:17:16Z,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree
6039862e1d,2020-11-26T09:40:07Z,2020-11-26T09:41:39Z,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly agree
faf4e76cd7,2020-11-27T14:14:45Z,2020-11-27T14:15:40Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree
5146a2a9c3,2020-11-27T14:17:30Z,2020-11-27T14:18:33Z,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Agree
08355b9d0a,2020-11-27T09:16:08Z,2020-11-27T09:17:05Z,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
5b48721f8a,2020-11-26T11:26:37Z,2020-11-26T11:27:24Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Agree
0aa00897ec,2020-11-27T09:22:39Z,2020-11-27T09:27:09Z,Strongly disagree,Strongly agree,Disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree
c61c6925cb,2020-11-26T09:19:34Z,2020-11-26T09:20:08Z,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Somewhat disagree,Strongly agree
db6c9a11cc,2020-11-27T11:17:17Z,2020-11-27T11:18:59Z,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree
7bc47305d9,2020-11-27T11:12:04Z,2020-11-27T11:13:33Z,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree
cda5e493b6,2020-11-26T09:13:14Z,2020-11-26T09:14:09Z,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Disagree,Strongly agree
bebede31aa,2020-11-27T14:13:21Z,2020-11-27T14:14:01Z,Somewhat agree,Agree,Strongly disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly agree
c457cdc907,2020-11-26T11:11:23Z,2020-11-26T11:11:57Z,Agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Strongly agree
1c504da715,2020-11-27T09:16:48Z,2020-11-27T09:17:40Z,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
2440d0cd13,2020-11-27T09:17:18Z,2020-11-27T09:17:58Z,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree
fb7fdb74c2,2020-11-27T14:21:18Z,2020-11-27T14:21:50Z,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Disagree,Agree
d6c438997a,2020-11-27T09:12:45Z,2020-11-27T09:14:57Z,Strongly agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Agree
02bc11a171,2020-11-26T11:13:59Z,2020-11-26T11:15:00Z,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree
24a9bc5884,2020-11-26T11:12:07Z,2020-11-26T11:14:37Z,Agree,Disagree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Strongly agree
17c753a6ca,2020-11-27T14:26:01Z,2020-11-27T14:26:09Z,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree
