uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
31be5d26b8,2020-11-26T14:34:53Z,2020-11-26T14:35:33Z,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree
d0d7536654,2020-11-26T09:16:55Z,2020-11-26T09:17:47Z,Agree,Strongly disagree,Somewhat agree,Agree,Agree,Disagree,Agree
5a4413f820,2020-11-27T09:29:36Z,2020-11-27T09:30:54Z,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Strongly agree
3e34bfcf47,2020-11-27T09:11:33Z,2020-11-27T09:14:15Z,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree
4b692f18cb,2020-11-30T08:54:50Z,2020-11-30T08:55:46Z,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree
779cabdb52,2020-11-27T09:26:48Z,2020-11-27T09:27:29Z,Somewhat agree,Agree,Disagree,Agree,Strongly disagree,Somewhat disagree,Strongly agree
38797bc61b,2020-11-26T11:10:30Z,2020-11-26T11:11:21Z,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Strongly agree
1ac4dfd50a,2020-11-27T11:18:24Z,2020-11-27T11:20:12Z,Somewhat disagree,Agree,Somewhat disagree,Agree,Disagree,Agree,Agree
ae87bc5f9b,2020-11-27T09:15:34Z,2020-11-27T09:17:32Z,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Agree
5ce22a3cc6,2020-11-27T09:27:30Z,2020-11-27T09:28:10Z,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree
47e7fbe2a2,2020-11-27T14:11:19Z,2020-11-27T14:11:57Z,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Agree,Agree
5b455d550e,2020-11-27T09:23:03Z,2020-11-27T09:24:21Z,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Disagree
c985e461b8,2020-11-26T11:46:43Z,2020-11-26T11:47:21Z,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Disagree,Strongly agree
389739a6a5,2020-11-27T09:15:58Z,2020-11-27T09:16:57Z,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree
00b905802d,2020-11-26T14:16:18Z,2020-11-26T14:18:37Z,Strongly agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree
